Attaching to hadoop27_om_1, hadoop27_rm_1, hadoop27_s3g_1, hadoop27_datanode_3, hadoop27_datanode_1, hadoop27_datanode_2, hadoop27_scm_1, hadoop27_nm_1
s3g_1       | 2019-10-08 09:50:22 INFO  DFSUtil:1641 - Starting Web-server for s3gateway at: http://0.0.0.0:9878
s3g_1       | 2019-10-08 09:50:22 INFO  log:192 - Logging initialized @1258ms
om_1        | Waiting for the service scm:9876
s3g_1       | 2019-10-08 09:50:22 INFO  AuthenticationFilter:240 - Unable to initialize FileSignerSecretProvider, falling back to use random secrets.
om_1        | 2019-10-08 09:50:27 INFO  OzoneManagerStarter:51 - STARTUP_MSG: 
s3g_1       | 2019-10-08 09:50:22 INFO  HttpRequestLog:81 - Http request log for http.requests.s3gateway is not defined
om_1        | /************************************************************
s3g_1       | 2019-10-08 09:50:22 INFO  HttpServer2:975 - Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
om_1        | STARTUP_MSG: Starting OzoneManager
s3g_1       | 2019-10-08 09:50:22 INFO  HttpServer2:948 - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context s3gateway
om_1        | STARTUP_MSG:   host = om/172.18.0.8
rm_1        | Flokkr launcher script 1.1-7-gef45e4c
s3g_1       | 2019-10-08 09:50:22 INFO  HttpServer2:958 - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
om_1        | STARTUP_MSG:   args = [--init]
rm_1        | 
datanode_3  | 2019-10-08 09:50:21 INFO  HddsDatanodeService:51 - STARTUP_MSG: 
datanode_2  | 2019-10-08 09:50:21 INFO  HddsDatanodeService:51 - STARTUP_MSG: 
s3g_1       | 2019-10-08 09:50:22 INFO  HttpServer2:958 - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
rm_1        | ===== Plugin is activated ENVTOCONF =====
om_1        | STARTUP_MSG:   version = 3.2.0
datanode_2  | /************************************************************
rm_1        | mapred-site.xml
datanode_3  | /************************************************************
s3g_1       | 2019-10-08 09:50:22 INFO  Gateway:57 - Starting Ozone S3 gateway
