Attaching to hadoop27_s3g_1, hadoop27_datanode_3, hadoop27_datanode_2, hadoop27_datanode_1, hadoop27_om_1, hadoop27_rm_1, hadoop27_scm_1, hadoop27_nm_1
s3g_1       | 2019-10-04 13:36:13 INFO  DFSUtil:1641 - Starting Web-server for s3gateway at: http://0.0.0.0:9878
s3g_1       | 2019-10-04 13:36:14 INFO  log:192 - Logging initialized @1111ms
s3g_1       | 2019-10-04 13:36:14 INFO  AuthenticationFilter:240 - Unable to initialize FileSignerSecretProvider, falling back to use random secrets.
s3g_1       | 2019-10-04 13:36:14 INFO  HttpRequestLog:81 - Http request log for http.requests.s3gateway is not defined
s3g_1       | 2019-10-04 13:36:14 INFO  HttpServer2:975 - Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
datanode_3  | 2019-10-04 13:36:13 INFO  HddsDatanodeService:51 - STARTUP_MSG: 
s3g_1       | 2019-10-04 13:36:14 INFO  HttpServer2:948 - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context s3gateway
datanode_3  | /************************************************************
s3g_1       | 2019-10-04 13:36:14 INFO  HttpServer2:958 - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
datanode_3  | STARTUP_MSG: Starting HddsDatanodeService
s3g_1       | 2019-10-04 13:36:14 INFO  HttpServer2:958 - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
datanode_3  | STARTUP_MSG:   host = 7a5d744a7742/172.18.0.7
s3g_1       | 2019-10-04 13:36:14 INFO  Gateway:57 - Starting Ozone S3 gateway
datanode_3  | STARTUP_MSG:   args = []
s3g_1       | 2019-10-04 13:36:14 INFO  HttpServer2:1191 - Jetty bound to port 9878
datanode_3  | STARTUP_MSG:   version = 3.2.0
s3g_1       | 2019-10-04 13:36:14 INFO  Server:351 - jetty-9.3.25.v20180904, build timestamp: 2018-09-04T21:11:46Z, git hash: 3ce520221d0240229c862b122d2b06c12a625732
datanode_2  | 2019-10-04 13:36:13 INFO  HddsDatanodeService:51 - STARTUP_MSG: 
