Attaching to jhs, ozonesecure-mr_rm_1, ozonesecure-mr_kdc_1, ozonesecure-mr_datanode_2, ozonesecure-mr_kms_1, ozonesecure-mr_s3g_1, ozonesecure-mr_om_1, ozonesecure-mr_datanode_1, ozonesecure-mr_scm_1, ozonesecure-mr_nm_1, ozonesecure-mr_datanode_3
kdc_1       | Issuer is listening on : 8081krb5kdc: starting...
kdc_1       | kadmind: starting...
kdc_1       | otp: Loaded
kdc_1       | Oct 14 11:10:06 kdc krb5kdc[9](info): setting up network...
jhs         | Sleeping for 5 seconds
kdc_1       | krb5kdc: setsockopt(9,IPV6_V6ONLY,1) worked
kdc_1       | krb5kdc: setsockopt(11,IPV6_V6ONLY,1) worked
kdc_1       | Oct 14 11:10:06 kdc krb5kdc[9](info): set up 4 sockets
jhs         | Setting up kerberos!!
kdc_1       | Oct 14 11:10:06 kdc krb5kdc[9](info): commencing operation
jhs         | KDC ISSUER_SERVER => kdc:8081
kdc_1       | Oct 14 11:09:52 e149e1a1b267 kadmin.local[1](info): No dictionary file specified, continuing without one.
jhs         | /opt/starter.sh: line 66: SLEEP_SECONDS: command not found
kdc_1       | Oct 14 11:09:53 7e650d1340c0 kadmin.local[1](info): No dictionary file specified, continuing without one.
jhs         | Sleeping for  seconds
kdc_1       | Oct 14 11:10:10 kdc kadmind[15](info): No dictionary file specified, continuing without one.
jhs         | Got 200, KDC service ready!!
kdc_1       | Oct 14 11:10:10 kdc kadmind[15](info): setting up network...
datanode_2  | Sleeping for 5 seconds
jhs         | Download dn/jhs@EXAMPLE.COM keytab file to /etc/security/keytabs/dn.keytab
kdc_1       | kadmind: setsockopt(9,IPV6_V6ONLY,1) worked
datanode_2  | Setting up kerberos!!
jhs         | --2019-10-14 11:10:16--  http://kdc:8081/keytab/jhs/dn
kdc_1       | kadmind: setsockopt(11,IPV6_V6ONLY,1) worked
jhs         | Resolving kdc (kdc)... 172.18.0.10
kdc_1       | kadmind: setsockopt(13,IPV6_V6ONLY,1) worked
jhs         | Connecting to kdc (kdc)|172.18.0.10|:8081... connected.
rm_1        | Sleeping for 5 seconds
datanode_2  | KDC ISSUER_SERVER => kdc:8081
kdc_1       | Oct 14 11:10:10 kdc kadmind[15](info): set up 6 sockets
jhs         | HTTP request sent, awaiting response... 200 OK
rm_1        | Setting up kerberos!!
datanode_2  | Sleeping for 5 seconds
s3g_1       | Sleeping for 5 seconds
om_1        | Sleeping for 5 seconds
