Attaching to ozoneperf_datanode_2, ozoneperf_datanode_3, ozoneperf_prometheus_1, ozoneperf_freon_1, ozoneperf_jaeger_1, ozoneperf_grafana_1, ozoneperf_datanode_1, ozoneperf_om_1, ozoneperf_scm_1, ozoneperf_s3g_1
prometheus_1  | level=info ts=2019-10-21T04:24:50.849Z caller=main.go:296 msg="no time or size retention was set so using the default time retention" duration=15d
prometheus_1  | level=info ts=2019-10-21T04:24:50.849Z caller=main.go:332 msg="Starting Prometheus" version="(version=2.13.1, branch=HEAD, revision=6f92ce56053866194ae5937012c1bec40f1dd1d9)"
prometheus_1  | level=info ts=2019-10-21T04:24:50.849Z caller=main.go:333 build_context="(go=go1.13.1, user=root@88e419aa1676, date=20191017-13:15:01)"
prometheus_1  | level=info ts=2019-10-21T04:24:50.849Z caller=main.go:334 host_details="(Linux 3.10.0-957.12.2.el7.x86_64 #1 SMP Tue May 14 21:24:32 UTC 2019 x86_64 ebebaec646b0 (none))"
prometheus_1  | level=info ts=2019-10-21T04:24:50.849Z caller=main.go:335 fd_limits="(soft=1048576, hard=1048576)"
prometheus_1  | level=info ts=2019-10-21T04:24:50.849Z caller=main.go:336 vm_limits="(soft=unlimited, hard=unlimited)"
prometheus_1  | level=info ts=2019-10-21T04:24:50.864Z caller=main.go:657 msg="Starting TSDB ..."
prometheus_1  | level=info ts=2019-10-21T04:24:50.864Z caller=web.go:450 component=web msg="Start listening for connections" address=0.0.0.0:9090
prometheus_1  | level=info ts=2019-10-21T04:24:50.870Z caller=head.go:514 component=tsdb msg="replaying WAL, this may take awhile"
prometheus_1  | level=info ts=2019-10-21T04:24:50.878Z caller=head.go:562 component=tsdb msg="WAL segment loaded" segment=0 maxSegment=0
prometheus_1  | level=info ts=2019-10-21T04:24:50.881Z caller=main.go:672 fs_type=EXT4_SUPER_MAGIC
prometheus_1  | level=info ts=2019-10-21T04:24:50.881Z caller=main.go:673 msg="TSDB started"
freon_1       | Sleeping for 30 seconds
prometheus_1  | level=info ts=2019-10-21T04:24:50.883Z caller=main.go:743 msg="Loading configuration file" filename=/etc/prometheus.yml
prometheus_1  | level=info ts=2019-10-21T04:24:50.885Z caller=main.go:771 msg="Completed loading of configuration file" filename=/etc/prometheus.yml
prometheus_1  | level=info ts=2019-10-21T04:24:50.885Z caller=main.go:626 msg="Server is ready to receive web requests."
freon_1       | 
