Attaching to hadoop31_datanode_1, hadoop31_datanode_3, hadoop31_rm_1, hadoop31_scm_1, hadoop31_s3g_1, hadoop31_datanode_2, hadoop31_om_1, hadoop31_nm_1
rm_1        | Flokkr launcher script 1.1-7-gef45e4c
rm_1        | 
datanode_1  | 2019-10-22 17:04:25,596 [main] INFO       - STARTUP_MSG: 
rm_1        | ===== Plugin is activated ENVTOCONF =====
scm_1       | 2019-10-22 17:04:24,941 INFO server.StorageContainerManagerStarter: STARTUP_MSG: 
datanode_3  | 2019-10-22 17:04:25,645 [main] INFO       - STARTUP_MSG: 
datanode_1  | /************************************************************
rm_1        | hdfs-site.xml
scm_1       | /************************************************************
datanode_3  | /************************************************************
datanode_1  | STARTUP_MSG: Starting HddsDatanodeService
rm_1        | File hdfs-site.xml has been written out successfullly.
scm_1       | STARTUP_MSG: Starting StorageContainerManager
datanode_3  | STARTUP_MSG: Starting HddsDatanodeService
datanode_1  | STARTUP_MSG:   host = 126c2be5fe41/172.18.0.3
rm_1        | core-site.xml
scm_1       | STARTUP_MSG:   host = scm/172.18.0.4
s3g_1       | 2019-10-22 17:04:25,713 INFO hdfs.DFSUtil: Starting Web-server for s3gateway at: http://0.0.0.0:9878
datanode_1  | STARTUP_MSG:   args = []
datanode_3  | STARTUP_MSG:   host = d404f125c6ce/172.18.0.8
rm_1        | File core-site.xml has been written out successfullly.
scm_1       | STARTUP_MSG:   args = [--init]
datanode_2  | 2019-10-22 17:04:24,081 [main] INFO       - STARTUP_MSG: 
s3g_1       | 2019-10-22 17:04:25,751 INFO util.log: Logging initialized @1737ms
om_1        | Waiting for the service scm:9876
datanode_1  | STARTUP_MSG:   version = 3.2.0
datanode_3  | STARTUP_MSG:   args = []
rm_1        | capacity-scheduler.xml
nm_1        | Flokkr launcher script 1.1-7-gef45e4c
scm_1       | STARTUP_MSG:   version = 3.2.0
datanode_2  | /************************************************************
s3g_1       | 2019-10-22 17:04:25,873 INFO server.AuthenticationFilter: Unable to initialize FileSignerSecretProvider, falling back to use random secrets.
om_1        | 2019-10-22 17:04:31,033 [main] INFO       - STARTUP_MSG: 
