Attaching to hadoop31_s3g_1, hadoop31_scm_1, hadoop31_rm_1, hadoop31_om_1, hadoop31_datanode_1, hadoop31_datanode_3, hadoop31_datanode_2, hadoop31_nm_1
s3g_1       | 2019-09-30 20:15:26 INFO  DFSUtil:1641 - Starting Web-server for s3gateway at: http://0.0.0.0:9878
s3g_1       | 2019-09-30 20:15:26 INFO  log:192 - Logging initialized @962ms
s3g_1       | 2019-09-30 20:15:26 INFO  AuthenticationFilter:240 - Unable to initialize FileSignerSecretProvider, falling back to use random secrets.
s3g_1       | 2019-09-30 20:15:26 INFO  HttpRequestLog:81 - Http request log for http.requests.s3gateway is not defined
s3g_1       | 2019-09-30 20:15:26 INFO  HttpServer2:975 - Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter)
rm_1        | Flokkr launcher script 1.1-7-gef45e4c
scm_1       | 2019-09-30 20:15:28 INFO  StorageContainerManagerStarter:51 - STARTUP_MSG: 
s3g_1       | 2019-09-30 20:15:26 INFO  HttpServer2:948 - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context s3gateway
rm_1        | 
scm_1       | /************************************************************
s3g_1       | 2019-09-30 20:15:26 INFO  HttpServer2:958 - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
rm_1        | ===== Plugin is activated ENVTOCONF =====
scm_1       | STARTUP_MSG: Starting StorageContainerManager
s3g_1       | 2019-09-30 20:15:26 INFO  HttpServer2:958 - Added filter static_user_filter (class=org.apache.hadoop.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
om_1        | Waiting for the service scm:9876
rm_1        | yarn-site.xml
scm_1       | STARTUP_MSG:   host = scm/172.18.0.8
s3g_1       | 2019-09-30 20:15:26 INFO  Gateway:57 - Starting Ozone S3 gateway
om_1        | 2019-09-30 20:15:33 INFO  OzoneManagerStarter:51 - STARTUP_MSG: 
rm_1        | File yarn-site.xml has been written out successfullly.
scm_1       | STARTUP_MSG:   args = [--init]
s3g_1       | 2019-09-30 20:15:26 INFO  HttpServer2:1191 - Jetty bound to port 9878
om_1        | /************************************************************
datanode_1  | 2019-09-30 20:15:29 INFO  HddsDatanodeService:51 - STARTUP_MSG: 
rm_1        | ozone-site.xml
nm_1        | Flokkr launcher script 1.1-7-gef45e4c
datanode_2  | 2019-09-30 20:15:26 INFO  HddsDatanodeService:51 - STARTUP_MSG: 
scm_1       | STARTUP_MSG:   version = 3.2.0
om_1        | STARTUP_MSG: Starting OzoneManager
s3g_1       | 2019-09-30 20:15:26 INFO  Server:351 - jetty-9.3.25.v20180904, build timestamp: 2018-09-04T21:11:46Z, git hash: 3ce520221d0240229c862b122d2b06c12a625732
datanode_3  | 2019-09-30 20:15:28 INFO  HddsDatanodeService:51 - STARTUP_MSG: 
datanode_1  | /************************************************************
rm_1        | File ozone-site.xml has been written out successfullly.
nm_1        | 
datanode_2  | /************************************************************
